Condition	KO	KO	KO	WT	WT	WT
Geneid	KO1	KO2	KO3	WT1	WT2	WT3
Gm26206	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0
Gm53491	0	0	0	0	0	0
Rp1	3	0	2	0	0	0
Sox17	0	4	2	0	0	0
Gm22307	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0
Gm39586	0	0	0	0	0	0
Gm46082	0	0	0	0	0	0
Gm29874	0	0	0	0	0	0
Mrpl15	4469	3060	3110	6048	6539	3780
Lypla1	6675	3904	4947	7680	5386	3980
Gm57794	2	7	4	4	1	2
Tcea1	11389	5433	7309	12381	6551	5641
Rgs20	1	0	2	0	0	0
Gm16041	0	0	0	0	0	0
Atp6v1h	3406	3103	2980	5369	4510	2541
Oprk1	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0
Gm46206	4	0	3	2	0	0
4732440D04Rik	37	31	45	25	16	19
Rb1cc1	3403	2166	2496	3118	1467	1561
Alkal1	1	0	0	0	0	0
St18	1	6	7	2	3	0
Pcmtd1	1755	1713	1701	1158	758	621
Gm23274	0	0	0	0	0	0
Gm26901	8	11	6	16	19	5
Gm39589	0	0	0	0	0	0
Sntg1	0	0	3	1	0	0
Gm30719	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0
Rrs1	3448	3354	2545	5477	3599	2236
Adhfe1	43	33	71	47	41	37
2610203C22Rik	5	6	18	2	1	0
Vxn	0	0	0	0	0	0
Mybl1	144	88	77	169	62	129
Vcpip1	4255	3286	3792	3930	1587	1966
1700034P13Rik	15	16	5	14	16	6
Gm39590	35	5	16	41	47	35
Sgk3	7433	2819	5093	7017	4223	3801
Gm6195	6	13	5	10	21	12
Mcmdc2	21	6	15	26	14	23
Snhg6	1092	757	763	1390	1958	909
Snord87	1	8	1	3	3	11
Tcf24	3	10	10	31	6	11
Ppp1r42	297	86	164	257	786	373
Gm24674	0	0	0	0	0	0
Cops5	6593	3825	4423	8718	7446	5074
Cspp1	1170	915	918	1070	549	759
Arfgef1	8149	4848	6530	9576	4015	4554
Cpa6	7	1	0	7	33	4
Gm25253	0	0	0	0	0	0
Prex2	19	14	13	2	0	0
Gm24173	0	0	0	0	0	0
A830018L16Rik	0	0	0	0	0	0
Gm30898	0	0	0	0	0	0
Gm30974	0	0	0	0	0	0
Gm22633	0	0	0	0	0	0
Gm39591	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0
Sulf1	3	2	4	2	2	1
Slco5a1	22	20	44	8	5	4
Gm39592	0	0	0	0	0	0
Prdm14	0	1	0	0	0	0
Ncoa2	3153	2696	3117	1863	820	1096
Gm23169	0	0	0	0	0	0
Gm39595	0	0	1	0	3	0
Tram1	10304	9034	8652	13683	9499	7098
Lactb2	1568	1010	1256	1967	1321	1108
Xkr9	0	0	4	22	6	15
Gm26273	0	0	0	0	0	0
Gm5523	0	0	2	0	2	1
Gm31195	0	0	0	0	0	0
Gm39596	0	0	0	0	0	0
Eya1	117	186	136	17	12	14
Msc	60	65	14	92	88	53
Gm9947	24	21	3	11	0	4
Trpa1	2	4	3	0	0	0
Kcnb2	0	0	0	0	0	0
Gm51616	0	0	0	0	0	0
