Condition	KO	KO	KO	WT	WT	WT
Geneid	KO1	KO2	KO3	WT1	WT2	WT3
Gm26206	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0
Gm53491	0	0	0	0	0	0
Rp1	3	0	1	0	0	0
Sox17	0	2	2	0	0	0
Gm22307	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0
Gm39586	0	0	0	0	0	0
Gm46082	0	0	0	0	0	0
Gm29874	0	0	0	0	0	0
Mrpl15	3341	2052	2385	4551	4354	2977
Lypla1	4879	2509	3723	5789	3529	3177
Gm57794	2	6	3	4	1	2
Tcea1	8099	3504	5336	8930	4313	4449
Rgs20	1	0	1	0	0	0
Gm16041	0	0	0	0	0	0
Atp6v1h	2639	2052	2304	4158	3124	2031
Oprk1	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0
Gm46206	1	0	2	1	0	0
4732440D04Rik	30	25	33	18	11	16
Rb1cc1	2546	1446	1904	2432	1073	1300
Alkal1	1	0	0	0	0	0
St18	1	3	7	2	3	0
Pcmtd1	1356	1130	1321	908	540	528
Gm23274	0	0	0	0	0	0
Gm26901	6	7	4	15	16	5
Gm39589	0	0	0	0	0	0
Sntg1	0	0	3	1	0	0
Gm30719	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0
Rrs1	2689	2305	2064	4350	2577	1880
Adhfe1	37	25	52	38	31	29
2610203C22Rik	5	6	16	2	1	0
Vxn	0	0	0	0	0	0
Mybl1	107	62	61	134	44	105
Vcpip1	3306	2174	2997	3151	1155	1619
1700034P13Rik	14	11	4	12	9	5
Gm39590	25	5	13	32	34	28
Sgk3	5485	1884	3906	5394	2945	3104
Gm6195	5	8	3	10	11	7
Mcmdc2	12	6	14	23	7	17
Snhg6	814	484	584	1045	1236	730
Snord87	1	5	1	3	2	9
Tcf24	2	7	8	20	6	10
Ppp1r42	240	57	127	212	563	311
Gm24674	0	0	0	0	0	0
Cops5	4589	2466	3224	6178	4879	3869
Cspp1	916	638	732	863	417	622
Arfgef1	6170	3199	5062	7621	2849	3733
Cpa6	5	1	0	7	23	3
Gm25253	0	0	0	0	0	0
Prex2	10	10	10	1	0	0
Gm24173	0	0	0	0	0	0
A830018L16Rik	0	0	0	0	0	0
Gm30898	0	0	0	0	0	0
Gm30974	0	0	0	0	0	0
Gm22633	0	0	0	0	0	0
Gm39591	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0
Sulf1	2	1	3	1	2	1
Slco5a1	17	15	37	7	4	4
Gm39592	0	0	0	0	0	0
Prdm14	0	1	0	0	0	0
Ncoa2	2442	1802	2460	1512	584	910
Gm23169	0	0	0	0	0	0
Gm39595	0	0	1	0	1	0
Tram1	7549	5697	6482	10130	6145	5621
Lactb2	1174	688	1000	1543	947	912
Xkr9	0	0	1	15	6	12
Gm26273	0	0	0	0	0	0
Gm5523	0	0	2	0	2	1
Gm31195	0	0	0	0	0	0
Gm39596	0	0	0	0	0	0
Eya1	93	117	102	17	7	11
Msc	49	43	13	72	67	42
Gm9947	15	13	3	10	0	4
Trpa1	2	4	3	0	0	0
Kcnb2	0	0	0	0	0	0
Gm51616	0	0	0	0	0	0
Gm51617	0	0	0	0	0	0
